date,timestamp,underlying_price,strike,mid_call,mid_put,support,resistance,range
2025-12-08,2025-12-08 21:00:00+00:00,624.19,624.0,2.04,1.79,620.1700000000001,627.8299999999999,7.6599999999998545
2025-12-09,2025-12-09 21:00:00+00:00,625.11,625.0,2.7300000000000004,2.56,619.71,630.29,10.579999999999927
2025-12-10,2025-12-10 21:00:00+00:00,627.53,628.0,2.475,2.85,622.675,633.325,10.650000000000091
2025-12-11,2025-12-11 21:00:00+00:00,625.6,626.0,2.2649999999999997,2.515,621.22,630.78,9.559999999999945
2025-12-12,2025-12-12 21:00:00+00:00,613.57,614.0,2.5949999999999998,2.915,608.49,619.51,11.019999999999982
2025-12-15,2025-12-15 21:00:00+00:00,610.49,610.0,2.71,2.17,605.12,614.88,9.759999999999991
2025-12-16,2025-12-16 21:00:00+00:00,611.8,612.0,2.22,2.3449999999999998,607.435,616.565,9.13000000000011
