symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
SPY,2022-03-02,423.0,PUT,2022-02-02T17:24:02.075,2022-02-02T16:09:38.524,2.3,2.58,2.0,2.37,6,6,110,6,2.52,50,55,7,2.57,50
SPY,2022-03-02,423.0,PUT,2022-02-02T17:39:16.985,2022-02-02T16:09:38.524,2.3,2.58,2.0,2.37,6,6,110,6,2.52,50,55,7,2.57,50
SPY,2022-03-09,440.0,CALL,2022-02-02T17:24:02.075,2022-02-02T09:49:59.101,20.25,20.25,20.25,20.25,2,1,44,9,20.07,50,44,9,20.41,50
SPY,2022-03-09,440.0,CALL,2022-02-02T17:39:16.985,2022-02-02T09:49:59.101,20.25,20.25,20.25,20.25,2,1,44,9,20.07,50,44,9,20.41,50
SPY,2022-06-17,472.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,6,69,29.72,50,6,69,31.18,50
SPY,2022-06-17,472.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,6,69,29.72,50,6,69,31.18,50
SPY,2022-12-30,420.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,11,43,23.81,50,11,43,25.83,50
SPY,2022-12-30,420.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,11,43,23.81,50,11,43,25.83,50
SPY,2022-12-30,420.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,9,42,55.61,50,11,43,59.5,50
SPY,2022-12-30,420.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,9,42,55.61,50,11,43,59.5,50
SPY,2022-12-30,270.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,10,9,184.0,50,10,9,188.5,50
SPY,2022-12-30,270.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,10,9,184.0,50,10,9,188.5,50
SPY,2022-02-07,520.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,300,1,65.49,50,300,1,66.26,50
SPY,2022-02-07,520.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,300,1,65.49,50,300,1,66.26,50
